firstname,lastname,email,mobileno,age,departmentname,subjectname,
chandruvasan,chandru,chandruvasan@gmail.com,8703867264,12,Biology,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
sumithkumar,sumith,sumithkumar@gmail.com,6902589023,21,Commerce,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
divyasri,divya,divya@gmail.com,2809479023,12,Biology,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
ram,ram,ram@gmail.com,5790346980,21,Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
megna,megna,megna@gmailc.om,9034793658,11,Accounts,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
thara,thara,thara@gmail.com,6902689053,21,Computer Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
achu,achu,ach123u@gmail.com,5018465890,11,History,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
geetharani,geethaarani,geetharani@gmail.com,8903675865,16,Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
kani,kani,kani@gmail.com,7894390243,12,Biology,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
abarna,abarna,abarna@gmail.com,8012759023,12,Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
Abi,Abi,abi@gmail.com,5610659023,12,History,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
Meena,Meena,meena@gmail.com,6381247522,21,Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
Vimal,Palanivel,vimal@gmail.com,6936507295,20,Computer Science,"Tamil,English,Maths,Botany,Zoology,Physics,Chemistry",
